Nome struttura;Indirizzo;Tipo struttura;Note
Agriturismo Al Barco;VIA BARCO, 14;AGRITURISMO;
Agriturismo Cà Giulietta;VIA BARCO, 6;AGRITURISMO;
Agriturismo Casa Maria Teresa;VIA CASELLE, 70;AGRITURISMO;
Agriturismo Casa Quindici;VIA CASA QUINDICI, 15;AGRITURISMO;
Agriturismo Ceolara;VIA CEOLARA, 25;AGRITURISMO;
Agriturismo Compri;LOCALITA' GASPARINA;AGRITURISMO;
Agriturismo Corte Belvedere;VIA OSSARIO, 23/A;AGRITURISMO;
Agriturismo Corte Coraman;VIA MADONNA DI MONTE, 28;AGRITURISMO;
Agriturismo La Fredda;VIA FREDDA, 1;AGRITURISMO;
Agriturismo le Bianchette;STRADELLA BIANCHETTE, 6;AGRITURISMO;
Agriturismo Le Mistral;STRADA MADONNA DI MONTE, 18;AGRITURISMO;
Agriturismo Maria Vittoria;VIA STAFFALO S.N.C. CUSTOZA;AGRITURISMO;
Agriturismo NicoBresaola;STRADA SOMMACAMPAGNA, 12;AGRITURISMO;
ALBERGO RISTORANTE LA CROCETTA;VIA DELL'INDUSTRIA, 54;STRUTTURA RICETTIVA ALBERGHIERA;
ALBERGO TRATTORIA MERICA (INATTIVO);VIA REZZOLA, 93;STRUTTURA RICETTIVA ALBERGHIERA;
B & B A CASA DI SEB;VIA LODIGO, 27;B&B;
B & B AL CANTON;VIA CARRARI, 21;B&B;
B & B AI GLICINI;VIA COA, 16;B&B;
B & B MASOTTE;VIA STAFFALO, 40;B&B;
B & B EL DORADO;VIA SARCE1, 11;B&B;
B & B V CASA QUINDICI;VIA CASA XV, 17;B&B;
B & B SPILLER GIANLUIGI;VIA GUASTALLA, 48;B&B;
B & B VILLA AI CEDRI;VIA CARRARI, 19;B&B;
B & B CORTE CASELLE;VIA CEOLARA, 21/A;B&B;
B & B IL RUSTICO;VIA SARCE', 11/A;B&B;
Country House - CASINO DI CACCIA;VIA OSSARIO, 64;STRUTTURA TURISTICA CLASSIFICATA;
CHC - MARINI LUCA;VIA CASELLE, 14;ALLOGGIO TURISTICO;
PEARL HOME - IDINI GIOVANNI;VIA CESARINA, 13;STRUTTURA RICETTIVA COMPLEMENTARE;
BINDI FEDERICA;VIA GRAMSCI, 6;LOCAZIONE TURISTICA;
BUSSINELLO VANDA;VIA VERONA, 24 CASELLE;LOCAZIONE TURISTICA;
D'ANGELO CARMELO;VIA PINDEMONTE, 5;LOCAZIONE TURISTICA;
DE BORTOLI NADIA;VIA ZANELLA, 18;LOCAZIONE TURISTICA;
FERRERI MARINA;VIA GUASTALLA, 36;LOCAZIONE TURISTICA;
GEBISINI ELISABET;VIA VERONA, 82;LOCAZIONE TURISTICA;
GOLF CLUB VERONA;VIA CA' DEL SALE,15;LOCAZIONE TURISTICA;
IELLAMO CONCETTA;VIA NUOVA, 87;LOCAZIONE TURISTICA;
MASOTTI GRAZIELLA (MARY BED);VIA CEFALONIA, 10/A - CASELLE;LOCAZIONE TURISTICA;
PERINA ROBERTO;VIA SCUOLE, 68;LOCAZIONE TURISTICA;
RESIDORI MARIA;VIA OSTERIA GRANDE, 10;LOCAZIONE TURISTICA;
SALOMONI SILVIA;VIA PASQUETTI, 7 ;LOCAZIONE TURISTICA;
STELLINO MASSIMILIANO (STE.MA COSTRUZIONI);VIA SABAINA, 1;LOCAZIONE TURISTICA;
STELLINO MASSIMILIANO (STE.MA COSTRUZIONI);VIA CROSARA 4;LOCAZIONE TURISTICA;
VINCENZONI ELENA;VIA DOSSOBUONO, 60/B;LOCAZIONE TURISTICA;
VILLA SACCOMANI;VIA ZOMER, 2;LOCAZIONE TURISTICA;
ZENORINI ANGELO (ZETA S.R.L.);VIA DELLA RESISTENZA, 2/A;LOCAZIONE TURISTICA;
HOTEL SACCARDI & SPA;VIA CIRO FERRARI, 8;STRUTTURA RICETTIVA ALBERGHIERA;
HOTEL SCALIGERO;VIA OSTERIA GRANDE, 41;STRUTTURA RICETTIVA ALBERGHIERA;
RESORT LA MOLA;VIA VALLE MOLINI, 5 - CUSTOZA;STRUTTURA RICETTIVA COMPLEMENTARE CLASSIFICATA;
DB HOTEL VERONA AIRPORT AND CONGRESS;VIA AEROPORTO, 20;STRUTTURA RICETTIVA ALBERGHIERA;
